Id,Nombre,Imagen,Tipo Pokemon,Peso,Habilidades,Movimiento,Altura,Habitat,Es baby,Es Legendario,Es Mitico,Generacion,Descripcion
1,bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,"grass,poison",6.9,"overgrow,chlorophyll","razor-wind,swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam,take-down,double-edge,growl,strength,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder,sleep-powder,petal-dance,string-shot,toxic,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,sludge,skull-bash,amnesia,flash,rest,substitute,snore,curse,protect,sludge-bomb,mud-slap,outrage,giga-drain,endure,charm,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,sunny-day,rock-smash,facade,nature-power,helping-hand,ingrain,knock-off,secret-power,weather-ball,grass-whistle,bullet-seed,magical-leaf,natural-gift,worry-seed,seed-bomb,energy-ball,leaf-storm,power-whip,captivate,grass-knot,venoshock,acid-spray,round,echoed-voice,grass-pledge,work-up,grassy-terrain,confide,grassy-glide,tera-blast,trailblaze",0.7,grassland,No,No,No,generation-i,Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.
2,ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,"grass,poison",13.0,"overgrow,chlorophyll","swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam,take-down,double-edge,growl,roar,strength,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder,sleep-powder,petal-dance,string-shot,toxic,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,amnesia,flash,rest,substitute,snore,curse,protect,sludge-bomb,mud-slap,outrage,giga-drain,endure,charm,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,sunny-day,rock-smash,facade,nature-power,helping-hand,ingrain,knock-off,secret-power,weather-ball,bullet-seed,magical-leaf,natural-gift,worry-seed,seed-bomb,energy-ball,leaf-storm,power-whip,captivate,grass-knot,venoshock,acid-spray,round,echoed-voice,grass-pledge,work-up,grassy-terrain,confide,grassy-glide,tera-blast,trailblaze",1.0,grassland,No,No,No,generation-i,"Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande."
3,venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,"grass,poison",100.0,"overgrow,chlorophyll","swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam,take-down,double-edge,growl,roar,hyper-beam,strength,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder,sleep-powder,petal-dance,string-shot,earthquake,toxic,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,amnesia,flash,rest,substitute,snore,curse,protect,scary-face,sludge-bomb,mud-slap,outrage,giga-drain,endure,charm,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,sunny-day,rock-smash,facade,nature-power,helping-hand,ingrain,knock-off,secret-power,weather-ball,bullet-seed,block,frenzy-plant,magical-leaf,natural-gift,worry-seed,poison-jab,seed-bomb,energy-ball,earth-power,giga-impact,rock-climb,leaf-storm,power-whip,captivate,grass-knot,venoshock,acid-spray,round,echoed-voice,grass-pledge,bulldoze,work-up,petal-blizzard,grassy-terrain,confide,stomping-tantrum,grassy-glide,terrain-pulse,tera-blast,trailblaze",2.0,grassland,No,No,No,generation-i,Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.
4,charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,fire,8.5,"blaze,solar-power","mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,wing-attack,mega-kick,headbutt,body-slam,take-down,double-edge,leer,bite,growl,roar,ember,flamethrower,submission,counter,seismic-toss,strength,dragon-rage,fire-spin,dig,toxic,rage,mimic,double-team,smokescreen,defense-curl,reflect,bide,fire-blast,swift,skull-bash,fury-swipes,rest,rock-slide,slash,substitute,snore,curse,protect,scary-face,belly-drum,mud-slap,outrage,endure,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,dynamic-punch,dragon-breath,iron-tail,metal-claw,hidden-power,sunny-day,crunch,ancient-power,rock-smash,beat-up,heat-wave,will-o-wisp,facade,focus-punch,helping-hand,brick-break,secret-power,weather-ball,air-cutter,overheat,rock-tomb,aerial-ace,dragon-claw,dragon-dance,natural-gift,fling,flare-blitz,dragon-pulse,dragon-rush,focus-blast,shadow-claw,fire-fang,captivate,hone-claws,flame-burst,flame-charge,round,echoed-voice,incinerate,acrobatics,inferno,fire-pledge,dragon-tail,work-up,confide,power-up-punch,breaking-swipe,tera-blast,temper-flare",0.6,mountain,No,No,No,generation-i,La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.
5,charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,fire,19.0,"blaze,solar-power","mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,mega-kick,headbutt,body-slam,take-down,double-edge,leer,bite,growl,roar,ember,flamethrower,submission,counter,seismic-toss,strength,dragon-rage,fire-spin,dig,toxic,rage,mimic,double-team,smokescreen,defense-curl,reflect,bide,fire-blast,swift,skull-bash,fury-swipes,rest,rock-slide,slash,substitute,snore,curse,protect,scary-face,belly-drum,mud-slap,outrage,endure,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,dynamic-punch,dragon-breath,iron-tail,metal-claw,hidden-power,sunny-day,crunch,ancient-power,rock-smash,beat-up,heat-wave,will-o-wisp,facade,focus-punch,helping-hand,brick-break,secret-power,weather-ball,overheat,rock-tomb,aerial-ace,dragon-claw,dragon-dance,natural-gift,fling,flare-blitz,dragon-pulse,dragon-rush,focus-blast,shadow-claw,fire-fang,captivate,hone-claws,flame-burst,flame-charge,round,echoed-voice,incinerate,acrobatics,inferno,fire-pledge,dragon-tail,work-up,confide,power-up-punch,breaking-swipe,tera-blast,temper-flare",1.1,mountain,No,No,No,generation-i,"Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él."
6,charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,"fire,flying",90.5,"blaze,solar-power","mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,wing-attack,fly,mega-kick,headbutt,body-slam,take-down,double-edge,leer,bite,growl,roar,ember,flamethrower,hyper-beam,submission,counter,seismic-toss,strength,solar-beam,dragon-rage,fire-spin,earthquake,fissure,dig,toxic,rage,mimic,double-team,smokescreen,defense-curl,reflect,bide,fire-blast,swift,skull-bash,fury-swipes,rest,rock-slide,slash,substitute,snore,curse,protect,scary-face,belly-drum,mud-slap,outrage,sandstorm,endure,false-swipe,swagger,fury-cutter,steel-wing,attract,sleep-talk,return,frustration,dynamic-punch,dragon-breath,iron-tail,metal-claw,hidden-power,twister,sunny-day,crunch,ancient-power,rock-smash,beat-up,heat-wave,will-o-wisp,facade,focus-punch,helping-hand,brick-break,secret-power,blaze-kick,blast-burn,weather-ball,air-cutter,overheat,rock-tomb,aerial-ace,dragon-claw,dragon-dance,roost,natural-gift,tailwind,fling,flare-blitz,air-slash,dragon-pulse,dragon-rush,focus-blast,giga-impact,shadow-claw,fire-fang,defog,captivate,ominous-wind,hone-claws,flame-burst,flame-charge,round,echoed-voice,sky-drop,incinerate,acrobatics,inferno,fire-pledge,bulldoze,dragon-tail,work-up,heat-crash,hurricane,confide,mystical-fire,power-up-punch,brutal-swing,breaking-swipe,scale-shot,dual-wingbeat,scorching-sands,tera-blast,dragon-cheer,temper-flare",1.7,mountain,No,No,No,generation-i,"Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente."
7,squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,water,9.0,"torrent,rain-dish","mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,submission,counter,seismic-toss,strength,dig,toxic,confusion,rage,mimic,double-team,withdraw,defense-curl,haze,reflect,bide,waterfall,skull-bash,bubble,rest,rock-slide,substitute,snore,curse,flail,protect,mud-slap,foresight,icy-wind,outrage,endure,rollout,false-swipe,swagger,attract,sleep-talk,return,frustration,dynamic-punch,rapid-spin,iron-tail,hidden-power,rain-dance,mirror-coat,rock-smash,whirlpool,fake-out,hail,facade,focus-punch,follow-me,helping-hand,brick-break,yawn,refresh,secret-power,dive,mud-sport,weather-ball,rock-tomb,water-spout,muddy-water,iron-defense,mud-shot,water-pulse,gyro-ball,brine,natural-gift,fling,aqua-ring,aura-sphere,aqua-tail,dragon-pulse,zen-headbutt,captivate,aqua-jet,round,scald,shell-smash,water-pledge,work-up,confide,power-up-punch,liquidation,life-dew,flip-turn,wave-crash,tera-blast,ice-spinner,chilling-water",0.5,waters-edge,No,No,No,generation-i,Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.
8,wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,water,22.5,"torrent,rain-dish","mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,submission,counter,seismic-toss,strength,dig,toxic,rage,mimic,double-team,withdraw,defense-curl,haze,reflect,bide,waterfall,skull-bash,bubble,rest,rock-slide,substitute,snore,curse,flail,protect,mud-slap,icy-wind,outrage,endure,rollout,false-swipe,swagger,attract,sleep-talk,return,frustration,dynamic-punch,rapid-spin,iron-tail,hidden-power,rain-dance,mirror-coat,rock-smash,whirlpool,fake-out,hail,facade,focus-punch,helping-hand,brick-break,yawn,secret-power,dive,weather-ball,rock-tomb,water-spout,muddy-water,iron-defense,mud-shot,water-pulse,gyro-ball,brine,natural-gift,fling,aqua-ring,aura-sphere,aqua-tail,dragon-pulse,zen-headbutt,captivate,aqua-jet,round,scald,shell-smash,water-pledge,work-up,confide,power-up-punch,liquidation,life-dew,flip-turn,wave-crash,tera-blast,ice-spinner,chilling-water",1.0,waters-edge,No,No,No,generation-i,"Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando."
9,blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,water,85.5,"torrent,rain-dish","mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,roar,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,hyper-beam,submission,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,rage,mimic,double-team,withdraw,defense-curl,haze,reflect,bide,waterfall,skull-bash,bubble,rest,rock-slide,substitute,snore,curse,flail,protect,scary-face,mud-slap,icy-wind,outrage,endure,rollout,false-swipe,swagger,attract,sleep-talk,return,frustration,dynamic-punch,rapid-spin,iron-tail,hidden-power,rain-dance,crunch,mirror-coat,rock-smash,whirlpool,fake-out,hail,facade,focus-punch,helping-hand,brick-break,yawn,secret-power,dive,hydro-cannon,weather-ball,rock-tomb,water-spout,signal-beam,muddy-water,iron-defense,mud-shot,water-pulse,gyro-ball,brine,natural-gift,fling,aqua-ring,aura-sphere,dark-pulse,aqua-tail,dragon-pulse,focus-blast,giga-impact,avalanche,zen-headbutt,flash-cannon,rock-climb,captivate,aqua-jet,smack-down,round,scald,shell-smash,water-pledge,bulldoze,dragon-tail,work-up,confide,power-up-punch,liquidation,body-press,life-dew,terrain-pulse,flip-turn,wave-crash,tera-blast,ice-spinner,chilling-water",1.6,waters-edge,No,No,No,generation-i,"Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón."
10,caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,bug,2.9,"shield-dust,run-away","tackle,string-shot,snore,bug-bite,electroweb",0.3,forest,No,No,No,generation-i,"Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos."
